Satellite 1,NORAD ID 1,Altitude Range [km],Satellite 2,NORAD ID 2,Altitude Range [km],"Conjunction Node Position [eci, km]",Collision Point A or B,Conjunction Point Altitude [km],Will they Collide?,Time Until Collision [days],Synodic Period [days],Collision Frequency [1/days],Inclination of Sat 1,Inclination of Sat 2
SL-14 DEB,26029,"[7787.401109880803, 7844.634682527549]",THORAD DELTA 1 DEB,8164,"[7834.198787871387, 8026.285108338384]",[ 1638.01793098    59.99360445 -7660.91947345],0,1456.1714668307377,True,8.495934502233297,40.67208622685185,0.024586887292243113,82.571,101.66270000000002
SL-14 DEB,26025,"[7717.5557076260675, 8122.570305646841]",DELTA 1 R/B,2661,"[7716.735328994254, 7816.989992217353]",[ 1714.84699189   303.45220417 -7519.16618141],0,1340.065090476126,True,25.150148379657185,51.878935185185185,0.01927564620265308,82.7347,101.93100000000001
SL-14 DEB,26023,"[7827.870052121067, 7858.900052064156]",COSMOS 1037,11046,"[7838.087873992046, 7857.328885397382]",[-4474.24477656 -4627.43926214 -4478.22250942],0,1463.198172613219,True,21.136530534018462,80.01152199074075,0.01249819994819901,82.58870000000002,74.0334
SL-14 DEB,26023,"[7827.870052121067, 7858.900052064156]",THORAD DELTA 1 DEB,9987,"[7791.907819090161, 7919.842315738012]",[3371.85649183 3920.19548481 5895.13908471],0,1463.419839598405,True,60.34236090527425,67.12967013888888,0.014896542734844902,82.58870000000002,101.4511
SL-14 DEB,26022,"[7743.334137667443, 7854.345946361494]",COSMOS 2201,22038,"[7787.446079128873, 7796.788827955671]",[ -506.71781936 -1678.81986674 -7589.7027532 ],0,1411.5219768351626,True,1.0632881821010263,61.3227662037037,0.016307157388793774,82.4616,82.5885
SL-14 DEB,26021,"[7521.744839392399, 7875.736003465878]",COSMOS 571,6682,"[7694.984715148437, 7855.540780788891]",[-4078.9415239  -1212.9035985   6587.30567444],0,1464.1518969447043,True,16.411087943189283,58.12291087962963,0.017204919452003403,81.7776,74.0131
SL-14 DEB,26018,"[7847.294830968803, 7872.523567516532]",COSMOS 1326,12981,"[7857.255571413729, 7986.935522258104]",[-2195.35363568  -708.73603947  7514.24736123],0,1482.2572499818561,True,11.00745795448287,68.30509259259259,0.014640196829312929,82.6969,73.978
SL-14 DEB,26018,"[7847.294830968803, 7872.523567516532]",COSMOS 738,7827,"[7844.818424718351, 7885.604264667389]",[ -872.6803001  -2108.98875358 -7514.01842351],0,1474.8800850309062,True,55.22532855027421,79.38159722222223,0.012597378170668229,82.6969,74.01290000000002
SL-14 DEB,26018,"[7847.294830968803, 7872.523567516532]",COSMOS 336,4383,"[7839.479855759918, 7862.294533948163]",[-3233.16302997 -1761.48399469  6941.88142877],0,1479.7181025729424,True,43.03041513495552,46.55341435185185,0.021480701553745884,82.6969,74.0253
SL-14 DEB,26016,"[7521.0805808113255, 7887.8122297015325]",METEOR 3-1,16191,"[7555.685581242022, 7587.100805880747]",[ 2500.83643078   309.31585471 -7142.27175112],0,1195.6272502427973,True,58.10471771856695,64.7307175925926,0.015448616007841602,81.91629999999999,82.5446
