Satellite 1,NORAD ID 1,Altitude Range [km],Satellite 2,NORAD ID 2,Altitude Range [km],"Conjunction Node Position [eci, km]",Collision Point A or B,Conjunction Point Altitude [km],Will they Collide?,Time Until Collision [days],Synodic Period [days],Collision Frequency [1/days],Inclination of Sat 1,Inclination of Sat 2
CZ-4 DEB,26661,"[7084.023256216963, 7245.149067326278]",CZ-4 DEB,26264,"[7073.315479697302, 7088.916594550294]",[1068.91266388   50.52251382 7005.63218641],0,708.7529482568507,True,12.519957777473955,51.20211226851852,0.019530444266746536,98.4025,98.6618
CZ-4 DEB,26661,"[7084.023256216963, 7245.149067326278]",SL-8 DEB,14345,"[7100.739516644375, 7121.533902610668]",[-1021.18209657 -6574.59352339  2530.81062179],0,740.366724484883,True,23.63420431152284,68.03664351851852,0.014697961984673973,98.4025,74.02780000000001
COSMOS 1579 COOLANT,26648,"[7270.536240643576, 7350.304624234177]",COSMOS 970 DEB,10564,"[7267.812505510751, 7502.843178758849]",[ 1676.43171148 -2589.38243371 -6600.04883831],0,907.1886165622736,True,35.5914919993999,47.44562789351852,0.021076757636009885,65.0442,65.8607
COSMOS 1579 COOLANT,26647,"[7284.713578124265, 7339.581006547035]",DELTA 1 DEB,21328,"[7146.849962933531, 7356.447263460204]",[1726.12362179 4887.55146733 5169.24192185],0,942.29496472131,True,13.41696454745589,22.974989872685185,0.04352559045907974,65.0493,99.7152
COSMOS 1579 COOLANT,26646,"[7271.7455602567925, 7351.54779676473]",THORAD AGENA D DEB,4468,"[7267.302774677036, 7398.633299029867]",[-2061.14430594  2310.08609658  6652.96787838],0,959.9005587930624,True,7.183640674179694,33.054661458333335,0.030252919130953383,65.0453,70.0703
COSMOS 1579 COOLANT,26634,"[7283.851702970442, 7334.049575962296]",DELTA 1 DEB,9567,"[7111.272406069664, 7298.93801743602]",[-3659.47998597 -3570.40410488 -5206.22271729],0,918.7345366170157,True,5.858945583029912,36.49116608796297,0.02740389270075591,65.0496,97.85940000000001
DELTA 1 DEB,26614,"[7161.025874965785, 7375.155454899768]",SL-3 R/B,5732,"[7215.028745882588, 7249.377371088559]",[-1120.24695878    82.75131701  7134.94004286],0,844.6858861282672,True,3.6949530685432426,57.45444444444445,0.017405093890812042,98.5607,81.25600000000001
DELTA 2 R/B(1),26606,"[6563.545228384824, 7249.118853632444]",THOR ABLESTAR DEB,323,"[7188.480191104189, 7301.697747408968]",[-6883.59771791   731.47103434  1954.147076  ],0,814.7524201691613,True,5.235175523490299,6.677129629629629,0.14976495222775368,37.555699999999995,66.8431
COSMOS 1823 DEB,26601,"[7855.2974302387465, 7900.007835521923]",THORAD DELTA 1 DEB,8181,"[7831.060234996502, 7938.363277285827]",[2074.96864334 2083.04129986 7323.35658792],0,1513.3842501545487,True,49.12349697779924,59.999652777777776,0.01666676311784212,73.6021,101.64420000000001
PEGASUS R/B,26562,"[6972.789871407864, 7007.804269433601]",SL-16 DEB,22385,"[6985.674271907232, 7087.251240966604]",[ 1478.19970838 -6833.51314976   110.59672365],0,614.3023441150463,True,25.067379031880087,61.66463541666667,0.01621675038282511,1.9644000000000001,70.8045
DNEPR 1 DEB,26551,"[6996.465551511609, 7019.589238704509]",COSMOS 397 DEB,5017,"[6928.538564419187, 8230.390417141409]",[-1335.29511626  3419.25905394 -5968.81853084],0,629.0835744905526,True,2.0421056479031945,41.42394097222222,0.02414062922382429,64.5568,65.7234
TIUNGSAT 1,26548,"[7008.782248311265, 7028.22490692198]",OV2-1/LCS 2 DEB,1835,"[7006.175333510639, 7036.703147039507]",[4220.66666786 4235.87914544 3688.46258363],0,647.6338108635509,True,1.9091916501254222,67.72734375,0.014765085187620399,64.5607,32.3938
TIUNGSAT 1,26548,"[7008.782248311265, 7028.22490692198]",THOR ABLESTAR DEB,318,"[7005.000358277615, 7168.171837819624]",[4023.19541928 2200.79948721 5318.9792445 ],0,644.7655315794582,True,4.817423910462876,42.39731481481481,0.023586399383259335,64.5607,66.533
UNISAT,26547,"[7013.67936302419, 7040.621457697513]",COSMOS 1275 DEB,12760,"[7000.8251283779355, 7100.084249671904]",[-2087.55952871  2464.19695623 -6255.07318417],0,661.4732139497328,True,41.96183201586483,54.75700231481481,0.018262504478435342,64.55990000000001,82.9851
TRANSIT 16 DEB,26531,"[7366.312626750189, 7417.835382562645]",SL-8 R/B,22007,"[7327.3896042820725, 7370.124095114436]",[-999.1410392   590.47146056 7274.41131999],0,988.2732121948566,True,17.821886484613092,66.10502314814815,0.01512744345855378,89.5862,82.93089999999998
