Satellite 1,NORAD ID 1,Altitude Range [km],Satellite 2,NORAD ID 2,Altitude Range [km],"Conjunction Node Position [eci, km]",Collision Point A or B,Conjunction Point Altitude [km],Will they Collide?,Time Until Collision [days],Synodic Period [days],Collision Frequency [1/days],Inclination of Sat 1,Inclination of Sat 2
TBA - TO BE ASSIGNED,89496,"[6949.6054832857535, 7092.1503678081335]",IRIDIUM 33 DEB,34107,"[7079.176163751325, 7095.201715381472]",[-1166.45597261   120.1864687  -6994.53006988],0,714.007613710959,True,2.0907381133959446,58.071787763837264,0.017220065689500345,98.87500000000001,86.3875
TBA - TO BE ASSIGNED,89496,"[6949.6054832857535, 7092.1503678081335]",MOZHAYETS,27560,"[7046.082899193406, 7105.118882787473]",[ 1424.06720879  4549.88633182 -5222.68520065],0,693.3461367061072,True,22.00431736430141,64.3736270427601,0.015534311890422939,98.87500000000001,98.2987
TBA - TO BE ASSIGNED,89496,"[6949.6054832857535, 7092.1503678081335]",COSMOS 2251 DEB,37961,"[7085.657006981177, 7161.3241485965655]",[-1784.056331   -1158.79145084 -6763.80162856],0,712.3261082375002,True,41.729103469178014,62.950631076551716,0.015885464258236594,98.87500000000001,74.048
TBA - TO BE ASSIGNED,89453,"[6852.327448318141, 7071.931107275982]",COSMOS 2251 DEB,37337,"[7038.248571357584, 7087.746056533715]",[-3823.58448642  1474.6296671  -5761.13278792],0,691.8687977265754,True,39.25065761188072,62.697461480725764,0.015949609065231716,97.3198,74.0209
TBA - TO BE ASSIGNED,89391,"[6864.07786839625, 7158.994294438393]",IRIDIUM 33 DEB,35856,"[6991.2492217469435, 7076.240776066734]",[-2413.95655356  1660.60361624 -6349.29240379],0,614.5952729737737,True,14.01573223491413,42.875209902519416,0.023323500975822357,97.4303,86.37039999999999
TBA - TO BE ASSIGNED,89347,"[7060.237887506712, 7095.369273358547]",COSMOS 2251 DEB,35032,"[7062.944813326832, 7184.860433260834]",[-1830.68335488   757.78573129 -6796.12531958],0,700.91379228598,True,11.29903920225022,35.391152238312145,0.028255649696464685,86.286,73.85630000000002
TBA - TO BE ASSIGNED,89341,"[6839.205901543604, 6859.972486061375]",OBJECT V,43738,"[6837.931479903803, 6873.388954547293]",[3028.58305954 1499.45318919 5946.75034655],0,461.783679318326,True,15.351722866851846,49.168731673390276,0.020338128846654632,98.1432,97.4629
TBA - TO BE ASSIGNED,89285,"[6689.847612595717, 11233.36137556443]",THORAD AGENA D DEB,5690,"[7408.056754157117, 7480.883025300378]",[2497.22412536 2506.41146812 6541.91904161],0,1059.2638582811978,True,7.373306423152675,95.95937019070263,0.01042107714976321,62.933299999999996,99.93800000000002
TBA - TO BE ASSIGNED,89218,"[7265.0012501418605, 7420.653031305492]",METEOR 1-18,7363,"[7256.909455956748, 7282.354622019614]",[-1122.13012249  1405.00581953  7039.9962364 ],0,887.8635761891856,True,48.177598999393815,71.82338224160334,0.01392304245205477,100.35610000000001,81.22729999999999
TBA - TO BE ASSIGNED,89195,"[7169.558515266875, 7213.039987059106]",COSMOS 2251 DEB,37293,"[7105.468715112412, 7223.610540668399]",[ 1523.83946726 -1339.87881642 -6919.49533225],0,832.7421154519088,True,4.517819774591822,37.5804577357085,0.026609574769756252,98.8506,73.9277
TBA - TO BE ASSIGNED,89183,"[7244.412128880078, 7442.710312522679]",THORAD AGENA D DEB,4706,"[7439.391360319697, 7489.548118285969]",[ -878.24895065   981.56957114 -7325.23253018],0,1064.5662497270605,True,62.14654283833368,65.89025743348404,0.01517675053871957,99.1254,99.9404
TBA - TO BE ASSIGNED,89177,"[7338.491149539625, 7387.169766830872]",COSMOS 2251 DEB,35776,"[6920.603719697167, 7393.719292462777]",[ -575.25655338  1964.58487137 -7089.81165996],0,1001.2900233401588,True,24.907873839483308,48.61171065466964,0.02057117485751224,82.9211,74.0085
TBA - TO BE ASSIGNED,89172,"[6937.408883805567, 7540.756001243739]",DMSP 5D-2 F13 DEB,40608,"[7170.03278888342, 7215.289011266693]",[-1414.02867514  -131.85427972 -7028.43874145],0,792.3451168106185,True,56.31172266320067,58.5297236985713,0.01708533607898118,82.05289999999998,98.7459
TBA - TO BE ASSIGNED,89135,"[7129.294075670228, 7329.588640269324]",NOAA 16 DEB,41261,"[7222.61417113456, 7283.883816033161]",[-5454.96790611  -365.88654297 -4774.09045427],0,880.1332818648816,True,16.868889752517664,57.56319564061214,0.017372211338706103,71.0364,98.81140000000002
TBA - TO BE ASSIGNED,89091,"[7323.458959934698, 7370.716898914342]",SCOUT G-1 DEB,29208,"[7244.3736491932295, 7374.69238958269]",[ 1555.07432465  -667.86548176 -7134.60496489],0,954.4538423878193,True,20.528614453488352,47.00511326780072,0.0212742812532486,82.9452,90.2718
TBA - TO BE ASSIGNED,89029,"[6989.593263398205, 7032.190038892233]",TURKSAT 3U,39152,"[6991.008291849888, 7013.820757889009]",[ 1260.88751924  -334.47530573 -6878.5484976 ],0,623.0157979414689,True,15.730479247850193,37.2570722006848,0.026840541699399006,98.2511,97.91379999999998
TBA - TO BE ASSIGNED,89005,"[6993.616085540006, 7314.002291573188]",THORAD AGENA D DEB,14466,"[7110.955337579423, 7211.931691131837]",[ 442.2580425  1710.13298279 6903.52850765],0,747.7912097773296,True,43.06724371251914,43.62923548301265,0.022920410796319294,97.8742,99.9653
TBA - TO BE ASSIGNED,88173,"[7179.9438106433445, 7408.764787259735]",COSMOS 1275 DEB,13471,"[7249.936742643028, 7327.904870727982]",[-2575.80578426 -4202.58517971  5408.42734436],0,939.4844694528856,True,57.32887468632147,64.15271503792447,0.015587804809334116,99.15329999999999,82.8123
TBA - TO BE ASSIGNED,87997,"[6679.3497767556055, 9477.577749118207]",SL-16 DEB,23302,"[7156.371660611088, 7340.599165874061]",[-1468.76868915  4980.31754459 -4924.83816957],0,778.3198959492902,True,25.097351169039637,43.574070987511966,0.022949427889962203,63.17799999999999,71.1257
TBA - TO BE ASSIGNED,87884,"[7139.339225968215, 7369.23778470626]",COSMOS 2074,20577,"[7339.457529033741, 7377.074456441815]",[    7.67608981  1509.40201414 -7182.75422154],0,961.5027438677835,True,35.29588334078049,67.39682780143708,0.014837493582727306,98.5078,82.94499999999998
TBA - TO BE ASSIGNED,87884,"[7139.339225968215, 7369.23778470626]",COSMOS 839 DEB,10464,"[7296.273127953787, 8420.667796792408]",[-5091.19348838  4510.87434304  2668.99360911],0,928.829905650412,True,34.651238811156965,52.23787920407055,0.01914319676136616,98.5078,65.831
TBA - TO BE ASSIGNED,87878,"[7142.300928343105, 7205.201815120724]",FENGYUN 1C DEB,36733,"[7182.223030640879, 7407.538554708058]",[-1034.78451233   508.44909399 -7107.14811378],0,821.9222899862707,True,51.331233373525286,62.078375346247824,0.016108668991777063,99.1656,99.2024
TBA - TO BE ASSIGNED,87841,"[7100.694001494628, 7397.225753409586]",SL-16 DEB,42246,"[7109.516999362638, 7300.0591476271275]",[-1916.12855426  1930.78939022  6743.62843136],0,893.4529723559035,True,43.73462253519632,54.02868254487278,0.018508687476683588,102.8872,70.9555
TBA - TO BE ASSIGNED,87784,"[6700.485124066486, 8869.566085067234]",OBJECT AA,43900,"[6853.587087614903, 6885.753632107918]",[5144.95650287 2313.4266265  3935.70439437],0,500.25592658097867,True,15.316171932058582,69.38840468940602,0.014411629788523969,62.15440000000001,97.2933
TBA - TO BE ASSIGNED,87784,"[6700.485124066486, 8869.566085067234]",OBJECT X,43897,"[6853.549118184929, 6885.961998861152]",[5144.85502332 2312.92068866 3936.23384556],0,500.3128406171536,True,70.54206407137859,77.06306290476792,0.012976385343465626,62.15440000000001,97.2933
TBA - TO BE ASSIGNED,87732,"[6891.640147705575, 6990.3969596875695]",COSMOS 2251 DEB,35730,"[6886.818397317102, 6911.2630784595885]",[  494.28656486  4974.85816941 -4749.57719536],0,517.6600205497989,True,17.79388255944485,36.43505049283349,0.02744609892050768,98.7035,74.0026
TBA - TO BE ASSIGNED,87730,"[7339.053399133211, 7381.077901984773]",N-1 R/B,13493,"[7341.567692619158, 7602.653701326362]",[ 3870.9427583  4277.902396  -4544.3741249],0,965.9751270575334,True,10.201158390841334,25.964979846460942,0.038513413294110496,82.94839999999999,44.6227
TBA - TO BE ASSIGNED,87730,"[7339.053399133211, 7381.077901984773]",SCOUT A DEB,3213,"[7273.171780528917, 7353.198502897658]",[ 3207.37694335  3816.21093874 -5390.39729101],0,964.0095349447292,True,20.963513680582686,45.3114354183338,0.022069484022467813,82.94839999999999,90.21340000000001
TBA - TO BE ASSIGNED,87672,"[7162.818414356808, 7256.316410300333]",FENGYUN 1C DEB,36675,"[7172.67524007944, 7227.791586812688]",[ 3624.60769202 -1654.45594974 -5996.67033132],0,821.5199691335001,True,32.67169193528663,36.24300266293104,0.02759153288981736,70.8601,99.2664
TBA - TO BE ASSIGNED,87672,"[7162.818414356808, 7256.316410300333]",FENGYUN 1C DEB,30191,"[6983.60898220032, 7184.635113552914]",[ 1847.47443763  1468.71395978 -6779.33027589],0,800.2751839662642,True,54.52454056898646,66.06944259759997,0.015135590080433428,70.8601,98.7715
TBA - TO BE ASSIGNED,87591,"[7198.0345563431365, 7233.547794191331]",FENGYUN 1C DEB,30821,"[7063.037045793978, 7206.243545811329]",[  149.22287707  3302.66257029 -6394.46722667],0,820.408591523018,True,14.716715649833862,37.13717977166084,0.026927192806468683,81.2224,99.0903
TBA - TO BE ASSIGNED,87590,"[7224.551627773981, 7263.107635370989]",FENGYUN 1C DEB,32088,"[7240.136241202585, 7898.962571137775]",[-762.85541356 1690.75398581 7018.8364413 ],0,881.6606839761735,True,15.485939885181265,68.95548424238038,0.014502109744962027,99.06810000000002,102.38610000000001
TBA - TO BE ASSIGNED,87574,"[7000.635745012045, 7089.0314993698485]",FENGYUN 1C DEB,30530,"[7080.551254026064, 7232.015422133187]",[-1025.95805846  1682.98262165  6806.0981221 ],0,707.6228103653311,True,7.348721831567002,67.29151363236807,0.014860714910698448,74.0056,98.7008
TBA - TO BE ASSIGNED,87565,"[7134.250055125828, 7402.081972739241]",NOAA 16 DEB,41424,"[7189.334035562458, 7236.464562161081]",[ 1109.60351336  -644.68589946 -7121.04812791],0,857.6190977288052,True,19.41446388194405,37.18537988637299,0.026892289471176316,99.96070000000002,98.89569999999999
TBA - TO BE ASSIGNED,87565,"[7134.250055125828, 7402.081972739241]",COSMOS 1603 DEB,43312,"[7202.7227990376205, 7233.97825682356]",[ 2283.43283329   691.87265048 -6798.1456741 ],0,826.5516036049548,True,5.137031699851536,48.1768357453009,0.0207568634288635,99.96070000000002,71.0246
TBA - TO BE ASSIGNED,87561,"[7777.801701625241, 8053.026990774079]",THORAD DELTA 1 DEB,42608,"[7875.124959623989, 7992.512152213652]",[-1533.70325321 -1827.21530424 -7543.0112132 ],0,1533.1195120528564,True,38.919637432789585,46.641828386624326,0.021439982834951948,102.29749999999999,102.17450000000001
TBA - TO BE ASSIGNED,87517,"[6920.147376551768, 8014.379232888179]",OPS 7613 (P/L 3),4259,"[7271.416769466342, 7305.0768084364345]",[ 2817.77938395 -1000.2510705   6661.34864547],0,923.5031333650504,True,50.991707649376345,74.17712227895562,0.013481245554920973,65.82730000000001,70.01450000000001
TBA - TO BE ASSIGNED,87501,"[7127.3892335075925, 7158.101610272635]",TBA - TO BE ASSIGNED,85151,"[7134.697437792781, 7155.926159146034]",[ 2114.92990012  -695.88522519 -6780.08295021],0,758.1582251669679,True,60.073755404742585,69.53364543236783,0.014381527011591157,74.03659999999999,98.5253
TBA - TO BE ASSIGNED,87415,"[7295.979567555207, 7346.111157780611]",SL-14 DEB,17270,"[7298.412871157411, 7302.661783882028]",[ 6086.04133288  1639.64952108 -3679.76141585],0,920.4240729160692,True,66.28257515099953,68.47359040200453,0.014604170660966618,65.3558,82.4371
TBA - TO BE ASSIGNED,87397,"[7052.592841565089, 7071.6478546884055]",CZ-2C R/B,40287,"[7049.012245977648, 7059.350854457646]",[-3447.90921577 -1211.22619103  6038.97166273],0,680.4978247629997,True,29.134595208043002,40.4689204741549,0.024710320618476608,81.2368,97.9919
TBA - TO BE ASSIGNED,87397,"[7052.592841565089, 7071.6478546884055]",SAUDISAT 1C,27607,"[6962.358192832924, 7078.000200705464]",[5786.1966302  -157.82953414 4029.80759421],0,674.8291031047866,True,18.66561677246907,53.320537111217604,0.01875449975145917,81.2368,64.5548
TBA - TO BE ASSIGNED,87382,"[7050.932642430294, 7084.218095387709]",COSMOS 2251 DEB,33935,"[7033.151619877765, 7093.947591333213]",[-3213.11678564 -1442.409403    6146.33119282],0,705.792100145034,True,48.87889479794572,68.43888323235497,0.014611576822563388,70.9694,74.0074
TBA - TO BE ASSIGNED,87382,"[7050.932642430294, 7084.218095387709]",COSMOS 2251 DEB,33798,"[7059.016756666957, 7195.817550546422]",[  374.02332421 -3640.02382308 -6036.59533723],0,680.9103964310561,True,19.360781931110317,38.12045796042172,0.026232633433686516,70.9694,74.029
TBA - TO BE ASSIGNED,87335,"[7361.323494970466, 7488.386523716361]",FENGYUN 1C DEB,30732,"[7167.939190535979, 7361.599046840498]",[   47.53080846 -1264.78072992 -7251.74577312],0,983.231502565759,True,18.96842278390007,50.99590481410239,0.019609417729626405,89.9668,99.06819999999999
TBA - TO BE ASSIGNED,87334,"[7369.644066410614, 7481.170715257989]",FENGYUN 1C DEB,37909,"[7201.159989099902, 7507.787113075992]",[   54.07507914 -1290.96451147 -7256.11905041],0,992.1260317867564,True,57.31007680177155,71.12216752184311,0.01406031389148649,89.97250000000001,98.93250000000002
TBA - TO BE ASSIGNED,87331,"[6855.462728961688, 6889.371234349176]",FLOCK 3P 43,42007,"[6859.808514977164, 6868.737561345205]",[-4664.18989346 -1438.44194113 -4820.78259203],0,482.1638228454067,True,25.92146391623489,36.8805857849574,0.02711453678720779,66.9069,97.4114
TBA - TO BE ASSIGNED,87331,"[6855.462728961688, 6889.371234349176]",FLOCK 3P 11,41975,"[6860.478013669805, 6869.708818276922]",[-4688.18898915 -1480.80999172 -4784.68961421],0,482.2688869615404,True,40.88378640074286,41.014886326687495,0.024381391479057244,66.9069,97.4099
TBA - TO BE ASSIGNED,87245,"[6909.049353877282, 7683.963124605955]",COSMOS 1140,11573,"[7133.840419580975, 7157.243498605397]",[-1620.38121117  2461.20428448 -6507.86784448],0,765.7768908999051,True,18.958857995932544,40.56188472976883,0.024653686747107405,65.6623,74.0659
TBA - TO BE ASSIGNED,87228,"[7133.368048381945, 7193.900759093529]",MICROSAT-R DEB,44201,"[6657.30032092532, 7736.165424572238]",[-6642.31625762 -2550.69828939   509.66614536],0,755.318446663332,True,55.06331936913931,60.82967788457025,0.016439343997474216,98.9251,95.209
TBA - TO BE ASSIGNED,87228,"[7133.368048381945, 7193.900759093529]",NOAA 16 DEB,41660,"[7188.823870720234, 7225.884084874067]",[6403.94314047 2822.14353283 1656.87717047],0,813.540399903115,True,39.449180253724535,69.21034533135375,0.014448706984662,98.9251,98.80890000000001
TBA - TO BE ASSIGNED,87228,"[7133.368048381945, 7193.900759093529]",FENGYUN 1C DEB,37463,"[7009.90060297789, 7175.701925328737]",[-1832.41293058   438.46302837  6900.07526721],0,774.5565953190771,True,35.520892196754055,55.801277416500156,0.017920736698122705,98.9251,98.8345
