Satellite 1,NORAD ID 1,Altitude Range [km],Satellite 2,NORAD ID 2,Altitude Range [km],"Conjunction Node Position [eci, km]",Collision Point A or B,Conjunction Point Altitude [km],Will they Collide?,Time Until Collision [days],Synodic Period [days],Collision Frequency [1/days],Inclination of Sat 1,Inclination of Sat 2
TBA - TO BE ASSIGNED,89496,"[6948.272518229632, 7090.578737872235]",SL-8 DEB *,18510,"[7088.084319335371, 7108.029859756996]",[ 4044.24517263   307.09773938 -5815.3105466 ],0,711.8605170114761,True,52.52653908906456,57.24088185023847,0.017470031342569782,98.8773,73.993
TBA - TO BE ASSIGNED,89490,"[7128.942442633395, 7321.991017635785]",IRIDIUM 33,24946,"[7147.711195696583, 7161.5711665926965]",[-790.59873857 1680.56117566 6902.63175369],0,769.9856456781208,True,48.65363245846466,52.28059701301995,0.019127555099475245,98.3556,86.3878
TBA - TO BE ASSIGNED,89483,"[6864.98424818432, 7249.473365137291]",FENGYUN 1C DEB,30877,"[7134.608036591021, 7228.307387946074]",[ 761.40961841 1140.61480918 7018.35105977],0,772.9467184357609,True,28.191516210374285,44.9339328894751,0.0222548959259747,99.48369999999998,98.751
TBA - TO BE ASSIGNED,89483,"[6864.98424818432, 7249.473365137291]",FENGYUN 1C DEB,30102,"[7096.773973314918, 7309.23669992601]",[-2969.23302827  4528.43572576 -4639.18018856],0,752.4357484141874,True,30.2388714827479,63.303580225749876,0.015796894842816992,99.48369999999998,98.6415
TBA - TO BE ASSIGNED,89460,"[7468.718244501505, 7541.959846109022]",COSMOS 1275 DEB,39943,"[7306.025643596311, 7532.239446372411]",[ 1054.64361292 -1265.79847373  7331.15417146],0,1135.8726095290076,True,33.00151626196789,59.99087980782498,0.016669200438523386,100.3128,83.06800000000001
TBA - TO BE ASSIGNED,89391,"[6863.088957800683, 7158.392576089641]",IRIDIUM 97,27450,"[7136.682940320347, 7139.983705648895]",[ -909.89386568  -162.228686   -7079.88837197],0,761.8240890312527,True,17.484982705361624,37.99963455990436,0.026316042550976495,97.41740000000001,86.4268
TBA - TO BE ASSIGNED,89379,"[7424.584820633235, 7497.743025129874]",COSMOS 2251 DEB,38056,"[7127.049328448671, 7623.551605774433]",[ 1553.55701203 -2683.09433164  6825.53907285],0,1118.5634886925218,True,27.7430416310646,42.38802893309216,0.02359156642028486,100.47740000000002,73.92190000000001
TBA - TO BE ASSIGNED,89347,"[7053.834324087164, 7097.907092380468]",FENGYUN 1C DEB,30480,"[7041.592951402965, 7292.1613096402625]",[  414.45696341 -1854.31879135  6796.28951586],0,678.7620312893096,True,10.278200034623227,10.832386857267458,0.09231575766047342,86.28479999999999,98.5016
TBA - TO BE ASSIGNED,89327,"[7307.717634571587, 7330.890551329868]",FENGYUN 1C DEB,36211,"[6996.5914682560115, 7418.0318090135415]",[ 1330.28008211  -665.26917507 -7174.98810647],0,949.3920855846009,True,38.223835587085695,58.56767140568928,0.01707426599007417,82.53280000000001,98.62260000000002
TBA - TO BE ASSIGNED,89327,"[7307.717634571587, 7330.890551329868]",SL-16 DEB,22441,"[7202.104351218867, 7322.974797353714]",[-2072.77850213 -1389.97249271 -6884.41380361],0,944.6758249157101,True,18.5274467479599,49.11894609270246,0.020358743001380658,82.53280000000001,71.19490000000002
TBA - TO BE ASSIGNED,89327,"[7307.717634571587, 7330.890551329868]",DELTA 1 DEB,7907,"[7050.7500986423565, 7457.361693793047]",[ 6025.68063229   801.89503535 -4097.55990019],0,952.7469757381068,True,56.5528610918205,69.31469485328498,0.014426955238231245,82.53280000000001,97.7307
TBA - TO BE ASSIGNED,89269,"[6615.024775658729, 7023.918944494552]",CORVUS BC3,43118,"[6865.176004133009, 6879.092075563703]",[ 2758.2491567  -3916.25290036  4921.68910581],0,489.7592458837107,True,11.604461967853203,33.925405142789856,0.02947643501355589,64.2101,97.4809
